 0.201  0.00087  0.00130  0.0019 1.56 
 0.234  0.00213  0.00157  0.0006 1.78 
 0.270  0.01021  0.00174  0.0009 2.03 
 0.320  0.02726  0.00315  0.0011 2.39 
 0.370  0.03917  0.00579  0.0019 2.74 
 0.425  0.05333  0.01015  0.0004 3.14 
 0.499  0.05989  0.02630  0.0073 3.66 
			 	           
-0.201 -0.00039  0.00127  0.0020 1.56 
-0.234  0.00032  0.00153  0.0005 1.78 
-0.270  0.00229  0.00170  0.0011 2.03 
-0.320 -0.00454  0.00307  0.0007 2.39 
-0.370  0.00390  0.00566  0.0021 2.74 
-0.425 -0.01457  0.00990  0.0027 3.14 
-0.499  0.01008  0.02574  0.0122 3.66 
