  0.18   0.016   0.010  0.024  1.0  
  0.23  -0.024   0.008  0.015  1.1  
  0.29   0.005   0.012  0.013  1.3  
  0.36   0.048   0.022  0.025  1.5  
  0.43   0.115   0.044  0.038  1.8  
  0.50   0.357   0.087  0.075  2.1  
  0.59   0.080   0.193  0.005  2.4  
