#crosssection1 uncertainty1 Q21 XXXX1 x1 z1 pt1 crosssection2 uncertainty2 Q22 XXXX2 x2 z2 pt2 crosssection3 uncertainty3 Q23 XXXX3 x3 z3 pt3  
1323137.389348 45625.427219 1.685733 2.371122 0.000202 0.877037 0.350018 -999.000000 -999.000000 -999.000000 2.445610 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.873623 -999.000000 -999.000000 -999.000000 
120559.010641 4032.096485 1.720222 2.568213 0.000196 0.875935 0.772256 -999.000000 -999.000000 -999.000000 2.610792 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 3.696387 -999.000000 -999.000000 -999.000000 
89084475.164841 1458442.801355 4.994050 3.356955 0.000515 0.016865 0.031097 120960051.242317 1699453.826277 3.274099 3.123513 0.000552 0.014566 0.035591 905911035.172672 4650837.476118 2.538791 2.799465 0.000596 0.005146 0.034285 
72108044.759534 757564.509893 5.850818 3.728799 0.000494 0.018988 0.102969 726293556.791529 2404273.428216 3.592554 3.049516 0.000539 0.014696 0.133472 3658703294.903242 5396241.240992 2.569749 2.820772 0.000598 0.003949 0.132936 
2367786.237965 97069.771915 7.015803 4.683114 0.000443 0.022429 0.231137 413343846.640619 1282532.861389 4.235143 3.183070 0.000525 0.016046 0.307693 3108708336.287037 3517246.061861 2.596156 2.811459 0.000593 0.005088 0.327274 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 5616172.927936 43768.292506 5.300318 3.397711 0.000504 0.018020 0.640484 105604858.002299 189793.492163 2.682611 2.794050 0.000584 0.007246 0.705723 
143165508.734491 1848875.164738 3.688021 3.196345 0.000545 0.036701 0.032229 69648730.650185 1289570.207571 1.625553 3.468830 0.000661 0.034925 0.034054 16212371.652889 622173.721190 1.223094 2.871017 0.000813 0.030305 0.031814 
212615265.751234 1300843.294972 4.480788 3.245720 0.000527 0.037695 0.118674 473238889.779456 1940742.758695 1.972299 2.819722 0.000613 0.035395 0.139768 35918720.309026 534672.920148 1.180362 2.759831 0.000851 0.029812 0.137753 
42922592.206199 413290.796608 6.042528 3.831205 0.000493 0.039874 0.275235 501413556.274903 1412572.668214 2.637117 2.843270 0.000571 0.036525 0.326337 122539901.891850 698315.251460 1.318383 2.675798 0.000756 0.032759 0.366636 
47071.476712 4006.990196 7.297792 4.916442 0.000430 0.045807 0.540092 13471310.878586 67786.669647 3.650426 3.027594 0.000532 0.037797 0.681354 14890618.230735 71268.190623 1.627887 2.614277 0.000654 0.034734 0.807851 
