#crosssection           uncertainty            Q2            XXXX x y z pt
33379.051436 829.565279 8.564273 2.926696 0.036737 0.011725 0.070351 0.135806 
35430.450829 604.347754 8.536961 2.889406 0.036836 0.011647 0.072087 0.331604 
1285.622161 33.704032 8.545557 2.829808 0.036719 0.011698 0.072597 0.702564 
1422.578474 121.097922 8.494415 2.908058 0.036739 0.011618 0.183591 0.034071 
5054.620616 131.789930 8.564947 2.882158 0.036826 0.011692 0.183943 0.138455 
8066.432288 117.723643 8.541969 2.895080 0.036858 0.011650 0.192500 0.343130 
468.154966 8.303178 8.548021 2.947100 0.036886 0.011653 0.211155 0.738731 
-999.000000 -999.000000 -999.000000 2.649533 -999.000000 -999.000000 -999.000000 -999.000000 
383.993103 31.457941 8.585111 2.659959 0.036905 0.011695 0.505455 0.142944 
742.214856 30.925619 8.489495 2.703276 0.036703 0.011637 0.523763 0.358557 
75.878215 2.894934 8.559615 2.907656 0.037000 0.011634 0.533294 0.792323 
-999.000000 -999.000000 -999.000000 2.451946 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.519084 -999.000000 -999.000000 -999.000000 -999.000000 
82.468317 14.578477 8.545454 2.566877 0.037590 0.011431 0.851885 0.373304 
9.498583 1.448520 8.332047 2.717211 0.036418 0.011492 0.862783 0.732597 
-999.000000 -999.000000 -999.000000 2.874033 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.866614 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.855493 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.836560 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 3.103886 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.892799 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.821764 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.767215 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 3.154625 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.926696 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.889406 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.829808 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.908058 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.882158 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.895080 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.947100 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.649533 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.659959 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.703276 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.907656 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.451946 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.519084 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.566877 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.717211 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.874033 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.866614 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.855493 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.836560 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 3.103886 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.892799 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.821764 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.767215 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 3.154625 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.926696 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.889406 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.829808 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.908058 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.882158 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.895080 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.947100 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.649533 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.659959 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.703276 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.907656 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.451946 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.519084 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.566877 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 2.717211 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.323558 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.307302 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.256905 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.397125 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.381220 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.137659 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.601463 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 25.739599 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.102996 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.771383 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.249302 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 26.170940 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.240662 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.152351 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.562270 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 25.317053 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.316927 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 22.284705 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.058087 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 24.557968 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.954685 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 20.966307 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 22.906698 -999.000000 -999.000000 -999.000000 -999.000000 
2749906.041080 58324.110452 12.231191 24.323558 0.000802 0.772058 0.005782 0.033706 
10568314.864729 66013.299562 12.269270 24.307302 0.000808 0.768353 0.004787 0.132696 
8369709.524942 41540.217290 12.291434 24.256905 0.000808 0.770203 0.004996 0.325658 
275078.963019 2204.798300 12.296364 24.397125 0.000808 0.770265 0.005948 0.702325 
613564.280871 27549.849495 12.185156 23.381220 0.000814 0.757457 0.036345 0.031216 
1499274.008902 24863.889953 12.280016 24.137659 0.000810 0.767160 0.035773 0.132959 
1326090.542527 16534.846209 12.282272 24.601463 0.000809 0.768199 0.036086 0.325603 
55012.258247 985.984103 12.344349 25.739599 0.000814 0.767386 0.036264 0.769434 
171327.929235 10294.097593 12.289110 23.102996 0.000807 0.770353 0.067346 0.032007 
582020.149495 10954.248306 12.284642 23.771383 0.000811 0.766820 0.070049 0.135866 
648510.230336 8176.303219 12.273734 24.249302 0.000811 0.765834 0.071774 0.335603 
32542.587074 536.230134 12.287970 26.170940 0.000811 0.766019 0.072752 0.794414 
15359.724101 1258.317627 12.258814 23.240662 0.000815 0.760207 0.166096 0.033480 
75046.168762 1605.839767 12.237314 23.152351 0.000810 0.765123 0.175496 0.139163 
117946.874669 1423.528501 12.179196 23.562270 0.000809 0.762785 0.180587 0.346499 
9447.040279 117.949862 12.280098 25.317053 0.000812 0.765586 0.198154 0.848923 
-999.000000 -999.000000 -999.000000 23.316927 -999.000000 -999.000000 -999.000000 -999.000000 
3041.019201 279.948509 12.363972 22.284705 0.000804 0.777992 0.510653 0.140437 
5759.896538 272.433758 12.184500 23.058087 0.000807 0.764460 0.512641 0.353858 
880.275655 31.180963 12.261100 24.557968 0.000808 0.768368 0.515939 0.958741 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
-999.000000 -999.000000 -999.000000 23.954685 -999.000000 -999.000000 -999.000000 -999.000000 
644.283729 128.856746 12.357338 20.966307 0.000833 0.748013 0.886785 0.342700 
75.105075 12.880414 11.951925 22.906698 0.000813 0.745502 0.870247 0.831699 
3844008.667792 38780.917421 17.830435 24.323558 0.001945 0.487364 0.006361 0.034200 
15261399.094610 44613.104645 17.741128 24.307302 0.001950 0.483837 0.005320 0.132687 
12008696.119771 27983.253193 17.759905 24.256905 0.001944 0.485502 0.005485 0.324412 
371495.281881 1440.965327 17.890662 24.397125 0.001937 0.490459 0.006602 0.696824 
944471.951557 19222.967519 17.514934 23.381220 0.001975 0.472421 0.036521 0.032394 
2462773.865397 17921.631383 17.506567 24.137659 0.001973 0.472718 0.035889 0.131925 
2160795.847746 11870.175574 17.589612 24.601463 0.001977 0.473931 0.036259 0.328740 
90249.666243 710.231094 17.994871 25.739599 0.001976 0.483146 0.036450 0.754042 
276220.877299 7350.876933 17.149723 23.102996 0.001990 0.461491 0.066978 0.033365 
926865.804987 7774.253617 17.294838 23.771383 0.001968 0.469535 0.070056 0.134833 
1062139.697800 5884.723977 17.540712 24.249302 0.001972 0.473936 0.071611 0.335036 
53282.347699 385.881144 18.072208 26.170940 0.001971 0.486395 0.072708 0.785539 
26311.407930 926.205425 17.039951 23.240662 0.001962 0.466482 0.171556 0.033099 
117700.350218 1131.002401 16.994701 23.152351 0.001980 0.458941 0.173037 0.138184 
192205.867385 1021.981353 17.021483 23.562270 0.001975 0.461121 0.180124 0.347161 
15508.779427 84.991416 17.796104 25.317053 0.001979 0.477988 0.197784 0.853989 
929.213291 150.738301 15.105146 23.316927 0.001793 0.446369 0.485352 0.033116 
4197.761798 184.975486 16.062791 22.284705 0.001954 0.445089 0.508656 0.135337 
9186.169993 193.489553 16.206519 23.058087 0.001979 0.440342 0.510387 0.357547 
1477.658730 22.719772 17.433019 24.557968 0.001994 0.466891 0.516706 0.976586 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
358.643726 76.463099 16.630063 23.954685 0.002149 0.435444 0.880616 0.141379 
798.797391 80.690722 14.995511 20.966307 0.001992 0.410163 0.883178 0.348863 
134.142069 9.680870 16.547259 22.906698 0.001994 0.451888 0.871339 0.867424 
1218716.793375 12278.366539 25.953834 24.323558 0.005792 0.243112 0.007656 0.034168 
5053534.782975 14435.312779 25.890092 24.307302 0.005798 0.243089 0.006192 0.132683 
3857105.052357 8917.524368 25.978000 24.256905 0.005776 0.244823 0.006510 0.323781 
112882.043690 446.634851 26.756234 24.397125 0.005711 0.254010 0.007837 0.687634 
364551.196719 6715.347024 23.622708 23.381220 0.005903 0.219689 0.036154 0.031891 
950900.932874 6261.756937 24.213901 24.137659 0.005889 0.224869 0.035888 0.132395 
848867.007268 4183.438589 24.636169 24.601463 0.005895 0.228100 0.036261 0.329469 
34827.548524 248.085641 26.571532 25.739599 0.005865 0.245896 0.036580 0.743760 
111084.823432 2621.208472 22.670162 23.102996 0.005901 0.211261 0.067743 0.033072 
361953.444723 2731.743561 23.503055 23.771383 0.005907 0.218563 0.070125 0.134810 
424938.622078 2092.963602 24.035994 24.249302 0.005904 0.222694 0.071673 0.334298 
21191.117725 136.836548 26.679550 26.170940 0.005920 0.244980 0.072755 0.779712 
10009.592015 321.223094 21.503076 23.240662 0.005904 0.199487 0.173307 0.033997 
46068.863764 397.870460 22.363493 23.152351 0.005961 0.205286 0.174122 0.138605 
76327.863861 362.129998 22.817668 23.562270 0.005928 0.211118 0.180627 0.347429 
6303.672005 30.468169 25.176943 25.317053 0.005909 0.232599 0.198872 0.853800 
378.838833 54.119833 21.343416 23.316927 0.005613 0.202267 0.529198 0.030249 
1811.725846 68.330534 19.669886 22.284705 0.006090 0.177993 0.507502 0.137395 
3732.979926 69.355580 20.760639 23.058087 0.006063 0.187633 0.511017 0.358167 
629.557244 8.338689 23.369901 24.557968 0.005962 0.215277 0.520029 0.969912 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
134.011016 26.281722 19.420962 23.954685 0.006201 0.182990 0.858164 0.130828 
353.067484 30.164591 17.162444 20.966307 0.005887 0.162047 0.866470 0.354469 
44.842148 3.147302 21.237775 22.906698 0.006001 0.188379 0.861500 0.964194 
249850.782214 3126.556321 29.358395 24.323558 0.017726 0.092486 0.009379 0.034450 
1070218.962837 3735.954628 28.647465 24.307302 0.017844 0.088896 0.007704 0.132797 
786166.610712 2264.162389 29.027858 24.256905 0.017755 0.090343 0.008214 0.322029 
20914.984275 108.119904 30.491550 24.397125 0.017542 0.095690 0.009948 0.676305 
89243.600725 1868.591814 25.389817 23.381220 0.018228 0.076937 0.036316 0.032038 
256710.658581 1829.730901 25.750523 24.137659 0.018385 0.077835 0.035935 0.133122 
228899.467796 1221.722764 26.531477 24.601463 0.018277 0.080579 0.036238 0.328083 
8586.210273 69.275176 28.583423 25.739599 0.018249 0.087250 0.036529 0.718669 
29891.324399 764.686601 25.209588 23.102996 0.018268 0.076612 0.068432 0.033129 
100505.013735 809.550859 25.137330 23.771383 0.018377 0.076029 0.070258 0.135509 
116370.108033 615.964943 25.712881 24.249302 0.018392 0.077810 0.071847 0.334278 
5398.938819 38.843297 28.940396 26.170940 0.018226 0.088414 0.073035 0.753150 
2944.138954 97.974810 23.562772 23.240662 0.018559 0.070161 0.177663 0.033009 
14066.441670 123.642214 23.600916 23.152351 0.018562 0.070619 0.177329 0.138077 
22674.434504 111.001254 24.242010 23.562270 0.018551 0.072729 0.183826 0.346734 
1720.465190 8.951776 27.108559 25.317053 0.018329 0.082118 0.201727 0.824440 
151.608484 19.254297 23.023726 23.316927 0.019611 0.063072 0.529151 0.033233 
663.490894 23.255344 21.037279 22.284705 0.018738 0.061900 0.510119 0.138766 
1338.393179 23.355122 21.954956 23.058087 0.018956 0.064257 0.512629 0.360323 
192.724426 2.594689 25.049598 24.557968 0.018779 0.074348 0.521594 0.942941 
-999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 -999.000000 
47.275764 8.778889 23.094591 23.954685 0.019692 0.064368 0.859084 0.136222 
113.298814 9.609880 20.575020 20.966307 0.019186 0.059388 0.871017 0.360854 
17.466415 1.104673 21.682856 22.906698 0.017977 0.066985 0.864839 0.887630 
35082.022188 658.766499 33.351458 24.323558 0.052390 0.034047 0.011823 0.033873 
