#**************************************************************************
#
#   These are published data of the HERMES Collaboration.                  
#   You are free to use these data in any publication. However, you must   
#   make a reference to the following publication:                         
#
#   A. Airapetian et al, Phys. Lett. B 693 (2010) 11-16 
#
#**************************************************************************
#
#################################################################
# SSA of pi+ as a function of z                                 #
#                                               uncertainties   #
#   <Q^2>   <x>    <y>    <z>  <Phperp> Collins stat. and syst. #
#################################################################
2.423  0.086  0.592  0.234  0.346   0.0060  0.0048  0.0088
2.428  0.094  0.551  0.303  0.377   0.0067  0.0057  0.0085
2.425  0.097  0.528  0.373  0.403   0.0182  0.0068  0.0082
2.418  0.099  0.514  0.447  0.429   0.0106  0.0078  0.0079
2.411  0.100  0.504  0.523  0.453   0.0144  0.0100  0.0076
2.400  0.101  0.494  0.593  0.465   0.0362  0.0119  0.0073
2.385  0.103  0.478  0.663  0.465   0.0349  0.0140  0.0071
