#SSA asymmetry AUT for PI- COMPASS
# e- p -> e- h X
# h = PI-
#Bakur Parsamyan [COMPASS Collaboration],
#<Q2>    <y>     <pT>    <x>     <z>     <W>  Collins sigma
3.57    0.34    0.45    0.0444  0.223   9.5   0.0057  0.005   
3.54    0.32    0.48    0.0455  0.273   9.31  0.024   0.006   
3.49    0.31    0.5     0.0464  0.323   9.14  0.0107  0.0071
3.42    0.3     0.52    0.0472  0.373   8.92  0.0164  0.0084
3.3     0.27    0.54    0.0484  0.444   8.58  0.0235  0.0075
3.08    0.24    0.55    0.0495  0.564   8.1   0.021   0.0088
2.75    0.21    0.53    0.0488  0.716   7.64  -0.0014 0.0127
2.42    0.19    0.43    0.0471  0.878   7.27  0.0019  0.0168

