#**************************************************************************
#
#   These are published data of the HERMES Collaboration.                  
#   You are free to use these data in any publication. However, you must   
#   make a reference to the following publication:                         
#
#   A. Airapetian et al, Phys. Lett. B 693 (2010) 11-16 
#
#**************************************************************************
#
#################################################################
# SSA of K+ as a function of x                                  #
#                                               uncertainties   #
#   <Q^2>   <x>    <y>    <z>  <Phperp> Collins stat. and syst. #
#################################################################
  1.285  0.036  0.709  0.364  0.530   0.0235  0.0196  0.0102
  1.646  0.056  0.574  0.386  0.439   0.0225  0.0181  0.0088
  2.061  0.076  0.524  0.398  0.399   0.0029  0.0214  0.0074
  2.523  0.099  0.495  0.406  0.375   0.0070  0.0198  0.0059
  3.300  0.134  0.477  0.412  0.363   0.0607  0.0183  0.0038
  4.461  0.186  0.464  0.413  0.355   0.0552  0.0227  0.0024
  6.374  0.274  0.450  0.416  0.355   0.0494  0.0289  0.0070
