#**************************************************************************
#
#   These are published data of the HERMES Collaboration.                  
#   You are free to use these data in any publication. However, you must   
#   make a reference to the following publication:                         
#
#   A. Airapetian et al, Phys. Lett. B 693 (2010) 11-16 
#
#**************************************************************************
#
#################################################################
# SSA of K- as a function of x                                  #
#                                               uncertainties   #
#   <Q^2>   <x>    <y>    <z>  <Phperp> Collins stat. and syst. #
#################################################################
  1.289  0.035  0.715  0.339  0.507   0.0069  0.0244  0.0033
  1.666  0.055  0.582  0.358  0.421  -0.0083  0.0243  0.0010
  2.088  0.076  0.532  0.363  0.381  -0.0016  0.0303  0.0017
  2.585  0.098  0.508  0.370  0.366   0.0114  0.0296  0.0043
  3.375  0.133  0.489  0.370  0.363   0.0225  0.0293  0.0085
  4.551  0.186  0.474  0.369  0.351   0.0458  0.0385  0.0146
  6.301  0.275  0.444  0.370  0.364  -0.0499  0.0575  0.0249
