#**************************************************************************
#
#   These are published data of the HERMES Collaboration.                  
#   You are free to use these data in any publication. However, you must   
#   make a reference to the following publication:                         
#
#   A. Airapetian et al, Phys. Lett. B 693 (2010) 11-16 
#
#**************************************************************************
#
#################################################################
# SSA of K+ as a function of Phperp                             #
#                                               uncertainties   #
#   <Q^2>   <x>    <y>    <z>  <Phperp> Collins stat. and syst. #
#################################################################
  2.655  0.111  0.470  0.367  0.111   0.0178  0.0186  0.0271
  2.619  0.107  0.496  0.376  0.211   0.0360  0.0216  0.0251
  2.597  0.103  0.525  0.380  0.290   0.0706  0.0227  0.0236
  2.520  0.096  0.550  0.387  0.369   0.0694  0.0215  0.0220
  2.440  0.089  0.576  0.393  0.489   0.0193  0.0154  0.0196
  2.339  0.081  0.611  0.418  0.673   0.0197  0.0173  0.0160
  2.253  0.072  0.661  0.471  0.972   0.0598  0.0240  0.0106
