#**************************************************************************
#
#   These are published data of the HERMES Collaboration.                  
#   You are free to use these data in any publication. However, you must   
#   make a reference to the following publication:                         
#
#   A. Airapetian et al, Phys. Lett. B 693 (2010) 11-16 
#
#**************************************************************************
#
#################################################################
# SSA of K- as a function of z                                  #
#                                               uncertainties   #
#   <Q^2>   <x>    <y>    <z>  <Phperp> Collins stat. and syst. #
#################################################################
  2.393  0.081  0.617  0.234  0.366  -0.0131  0.0193  0.0079
  2.380  0.086  0.580  0.303  0.401   0.0078  0.0216  0.0102
  2.385  0.091  0.553  0.373  0.429   0.0183  0.0258  0.0126
  2.320  0.091  0.536  0.448  0.450   0.0092  0.0301  0.0150
  2.294  0.091  0.534  0.523  0.463  -0.0674  0.0398  0.0174
  2.325  0.092  0.530  0.591  0.479   0.1033  0.0484  0.0199
  2.329  0.094  0.513  0.662  0.493   0.0729  0.0706  0.0222
