#**************************************************************************
#
#   These are published data of the HERMES Collaboration.                  
#   You are free to use these data in any publication. However, you must   
#   make a reference to the following publication:                         
#
#   A. Airapetian et al, Phys. Lett. B 693 (2010) 11-16 
#
#**************************************************************************
#
#################################################################
# SSA of pi+ as a function of x                                 #
#                                               uncertainties   #
#   <Q^2>   <x>    <y>    <z>  <Phperp> Collins stat. and syst. #
#################################################################
  1.281  0.036  0.707  0.336  0.489   0.0038  0.0071  0.0028
  1.631  0.056  0.569  0.356  0.409   0.0033  0.0066  0.0023
  2.017  0.076  0.513  0.367  0.372   0.0036  0.0078  0.0019
  2.467  0.098  0.484  0.376  0.356   0.0071  0.0073  0.0017
  3.203  0.133  0.464  0.379  0.344   0.0279  0.0070  0.0018
  4.321  0.186  0.449  0.379  0.339   0.0289  0.0091  0.0027
  6.179  0.275  0.434  0.375  0.344   0.0150  0.0123  0.0042
