#SSA asymmetry AUT for h- COMPASS
# e- p -> e- h X
# h = h-
#Franco Bradamante [COMPASS Collaboration],
#COMPASS results: new measurements of the Collins and Sivers asymmetries,
#to appear in the Conference Proceedings.
# systematics error = 1/2 statistic error
#
#<Q2>    <y>     <pT>    <x>     <z>     <W>  Collins sigma
3.69    0.34    0.46    0.0469  0.22    9.48  0.0079  0.0045
3.66    0.33    0.48    0.0473  0.27    9.41  0.0208  0.0054
3.61    0.33    0.51    0.0473  0.32    9.36  0.0026  0.0064
3.56    0.33    0.52    0.0471  0.37    9.33  0.0124  0.0075
3.46    0.33    0.55    0.0464  0.45    9.31  0.0226  0.0067
3.29    0.33    0.57    0.0446  0.57    9.30  0.0134  0.0077
3.00    0.32    0.56    0.0417  0.72    9.27  0.0004  0.0111
2.62    0.31    0.45    0.0381  0.88    9.10  0.0078  0.0143
