0.415669  0.039240  0.003515  0.002055  2.10
0.465600  0.059743  0.006060  0.002876	2.35
0.515531  0.079633  0.010594  0.00376	2.60
0.565395  0.071087  0.018915  0.003352	2.85
0.615399  0.091034  0.034829  0.004267	3.11
0.664631  0.173352  0.064719  0.008173	3.35
0.714242 -0.004505  0.132876  0.000798	3.61
