 0.237  0.00571  0.00579  0.0063  1.19 
 0.283  0.00192  0.00122  0.0004  1.34 
 0.322  0.00909  0.00093  0.0004  1.53 
 0.371  0.02343  0.00144  0.0004  1.79 
 0.427  0.03859  0.00228  0.0008  2.04 
 0.501  0.06916  0.00478  0.0004  2.36 
 0.598  0.10345  0.01369  0.0051  2.78 
			 	           
-0.237 -0.00442  0.00538  0.0067  1.19 
-0.283 -0.00030  0.00123  0.0013  1.34 
-0.322 -0.00087  0.00095  0.0004  1.53 
-0.371  0.00150  0.00147  0.0004  1.79 
-0.427  0.00131  0.00233  0.0009  2.04 
-0.501 -0.00547  0.00489  0.0014  2.36 
-0.598 -0.00381  0.01405  0.0068  2.78 
